0, Urząd Skarbowy
1, Bohaterów Monte Cassino
2, Dąbrowskiego
3, Obrońców Wybrzeża
4, Cicha (Cmentarz)
5, Emilii Plater
6, Rogozińskiego
7, Osiedle Wschód
8, Rondo Kaszubskie
9, Pogotowie Ratunkowe
10, Osiedle Kasprowicza
11, Obrońców Westerplatte
12, Wiśniewskiego
13, Chopina/Żwirki i Wigury
14, Chopina/Rondo
15, Chopina
16, Pogotowie Ratunkowe
17, Rondo Kaszubskie
18, Rogozińskiego
19, Osiedle Bursztynowe
20, Emilii Plater
21, Cyprysowa
22, Powstańców Warszawy/Plater
23, Dąbrowskiego
24, Nowowiejskiego
25, Komarowo
